title,location
Shree Santkrupa Institute of Education Training and Research Satara,"Maharashtra, Satara"
Arni University Kangra,"Himachal Pradesh, Kangra"
AKTU,"Uttar Pradesh, Lucknow"
Ramharakh Singh Memorial Degree College Sultanpur,"Uttar Pradesh, Sultanpur"
Pune Vidyarthi Griha's College of Engineering & S.S. Dhamankar Institute of Management Nashik,"Maharashtra, Nashik"
Aries Polytechnic College Palakkad,"Kerala, Palakkad"
Indira Institute of Technology & Sciences Prakasam,"Andhra Pradesh, Prakasam"
Smt. S.R. Patel Engineering College Mehsana,"Gujarat, Mehsana"
International Institute of Engineering and Technology Kurukshetra,"Haryana, Kurukshetra"
DCT’s Dhempe College of Arts and Science Panji,"Goa, Panji"
Indus International University Una,"Gujarat, Una"
Baba Narayan Das TT College Jaipur,"Rajasthan, Jaipur"
Ananda Chandra College of Commerce Jalpaiguri,"West Bengal, Jalpaiguri"
Govind Ramnath Kare College of Law South Goa,"Goa, Goa"
"Pydah College of Engineering, Kakinada East Godavari","Andhra Pradesh, East Godavari"
Akarapu Sharath Chandrika Devi Memorial College for Women Warangal,"Telangana, Warangal"
Usha Rama College of Engineering and Technology Krishna,"Andhra Pradesh, Krishna"
Synergy Institute of Management Pune,"Maharashtra, Pune"
Allana College of Pharmacy Pune,"Maharashtra, Pune"
Birsa Agricultural University Ranchi,"Jharkhand, Ranchi"
Meghnad Desai Academy of Economics Mumbai,"Maharashtra, Mumbai"
Waikhom Mani Girl's College Thoubal,"Manipur, Thoubal"
SSBF Pune,"Maharashtra, Pune"
Fortune Institute of International Business New Delhi,"Delhi, Delhi"
College of Engineering and Technology Payyanur,"Kerala, Payyanur"
Mount Zion College of Nursing Pudukkottai,"Tamil Nadu, Pudukkottai"
NMIET,"Odisha, Bhubaneswar"
Dharma Samaj College Aligarh,"Uttar Pradesh, Aligarh"
Deccan College of Medical Sciences Hyderabad,"Telangana, Hyderabad"
BA College of Agriculture Anand,"Gujarat, Anand"
Arjun College of Technology & Sciences Hayathnagar,"Telangana, Hayathnagar"
TN Rao College Rajkot,"Gujarat, Rajkot"
Amrita Vishwa Vidyapeetham Mysore Campus,"Karnataka, Mysore"
Saraswati College of Professional Studies Ghaziabad,"Uttar Pradesh, Ghaziabad"
Oriental Group of Institutes Bhopal,"Madhya Pradesh, Bhopal"
Dasmesh College of Physiotherapy Faridkot,"Punjab, Faridkot"
Daudnagar College Aurangabad,"Maharashtra, Aurangabad"
Yash Institute of Pharmacy Aurangabad,"Maharashtra, Aurangabad"
Lal Bahadur Shastri College of Education Gurgaon,"Haryana, Gurgaon"
Thiagarajar School of Management Madurai,"Tamil Nadu, Madurai"
Prakasam Engineering College,"Andhra Pradesh, Kandukur"
Annex College Kolkata,"West Bengal, Kolkata"
KVASU,"Kerala, Pookode"
Carver Aviation Pune,"Maharashtra, Pune"
Mahatma Junior College of Education Mumbai,"Maharashtra, Mumbai"
NIBE College of Hotel Management Nagpur,"Maharashtra, Nagpur"
KASC,"Tamil Nadu, Coimbatore"
United College of Engineering & Research Greater Noida,"Uttar Pradesh, Noida"
Pushpanjali College of Education Palghar,"Maharashtra, Palghar"
Barama College Baksa,"Assam, Baksa"
Mount Zion College of Engineering Pathanamthitta,"Kerala, Pathanamthitta"
Dogra Law College Jammu,"Jammu & Kashmir, Jammu"
Meera College of Education Mansa,"Punjab, Mansa"
Kopal Institute of Science & Technology Bhopal,"Madhya Pradesh, Bhopal"
Loreto College Kolkata,"West Bengal, Kolkata"
Ajay Kumar Garg Institute of Management Ghaziabad,"Uttar Pradesh, Ghaziabad"
Shree Mahaveer Girls Degree College Meerut,"Uttar Pradesh, Meerut"
LNCT Bhopal,"Madhya Pradesh, Bhopal"
Prashanti College of Professional Studies Ujjain,"Madhya Pradesh, Ujjain"
Umanath Singh Law College Jaunpur,"Uttar Pradesh, Jaunpur"
Nava Bharathi Degree Post Graduate Studies Secunderabad,"Telangana, Secunderabad"
VSKUB,"Madhya Pradesh, Sagar"
CUSAT,"Kerala, Cochin"
Kinder Kin College of Education Panipat,"Haryana, Panipat"
Smt. Kashibai Navale College of Education & Training Pune,"Maharashtra, Pune"
SRM VEC,"Tamil Nadu, Kattankulathur"
Ganpat University Mehsana,"Gujarat, Mehsana"
First India School of Business Gurgaon,"Haryana, Gurgaon"
Arasu Polytechnic College Chennai,"Tamil Nadu, Chennai"
ABVHV,"Madhya Pradesh, Vidisha"
National Institute Of Personnel Management Kolkata,"West Bengal, Kolkata"
Maniba Institute of Business Management Surat,"Gujarat, Surat"
"Faculty of Pharmacy, Dharmsinh Desai University Nadiad","Gujarat, Nadiad"
Calicut University,"Kerala, Kozhikode"
Dr. Moonje Institute of Management and Computer Studies Nashik,"Maharashtra, Nashik"
ITM Navi Mumbai,"Maharashtra, Mumbai"
VBMV,"Maharashtra, Nagpur"
IP Sports College of Education Research and Technology Rohtak,"Haryana, Rohtak"
Anurag Engineering College,"Telangana, Suryapet"
SRU Raipur,"Chhattisgarh, Raipur"
Hope Institute of Bengal (B.Ed Section) Howrah,"West Bengal, Howrah"
College of Visual Arts Kolkata,"West Bengal, Kolkata"
Shree Sadguru B. Ed. College Ahmedabad,"Gujarat, Ahmedabad"
Manipal College of Health Professions,"Madhya Pradesh, Agar"
VIIT Vishakhapatanam,"Maharashtra, Pune"
Maharaja Institute of Technology Coimbatore,"Tamil Nadu, Coimbatore"
Aditanar College of Arts and Science Thoothukudi,"Tamil Nadu, Thoothukudi"
Kawa College of Education Jammu,"Jammu & Kashmir, Jammu"
Smt Bhagwani Memorial Institute of Higher Education Faridabad,"Haryana, Faridabad"
Rajkiya Engineering College Azamgarh,"Uttar Pradesh, Azamgarh"
Chhotu Ram Institute of Law Rohtak,"Haryana, Rohtak"
Ambedkar Institute of Management Studies Visakhapatnam,"Andhra Pradesh, Visakhapatnam"
Set Motilal Teacher's Education College Jhunjhunu,"Rajasthan, Jhunjhunu"
Noble Homeopathic College and Research Institute Junagadh,"Gujarat, Junagadh"
Dr. D.Y.Patil Biotechnology and Bioinformatics Institute Pune,"Maharashtra, Pune"
École Intuit Lab French Institute of Design Digital & Strategy Kolkata,"West Bengal, Kolkata"
HPTU,"Himachal Pradesh, Hamirpur"
St Alphonsa's College of Education Hyderabad,"Telangana, Hyderabad"
Jharkhand Rai University Ranchi,"Jharkhand, Ranchi"
Srajan College of Design Pune,"Maharashtra, Pune"
Bhargava Paramedical College Jammu,"Jammu & Kashmir, Jammu"
Deepshikha Institute of Management Studies Jaipur,"Rajasthan, Jaipur"
ITM Business School Warangal,"Telangana, Warangal"
FGM Government College Hisar,"Haryana, Hisar"
Modinagar Institute of Technology Ghaziabad,"Uttar Pradesh, Ghaziabad"
PVP College of Engineering and Technology for Women Dindigul,"Tamil Nadu, Dindigul"
Swami Vishwatamanand Saraswati Degree College Rajauri,"Jammu & Kashmir, Rajauri"
Kreating Charakters Mumbai,"Maharashtra, Mumbai"
Shri Saibaba College for Teacher's Training Indore,"Madhya Pradesh, Indore"
XIMB,"Odisha, Bhubaneswar"
SMRK BKAK Mahila Maha Vidyalaya Nashik,"Maharashtra, Nashik"
Vidya College of Engineering Meerut,"Uttar Pradesh, Meerut"
Vishwakarma Skill University,"Haryana, Gurugram"
Yashaswi Education Society's International Institute of Management Science Chinchwad,"Maharashtra, Chinchwad"
