id,title,image
31139,IMR Business School Ghaziabad,
30575,"Jaymin School Of Fashion Design & Technology, Uka Tarsadia University Bardoli",
13236,Government Institute Of Printing Technology Mumbai,
26510,PEC Pondicherry,
31143,Grace College Rajkot,
26513,"Centre for Distance and Virtual Learning, University of Hyderabad",
26521,DDE MDU,
29641,Ram Lakhan Singh Yadav College Ranchi,
31144,Guru Nanak Khalsa Group of Educational Institutions Yamuna Nagar,
32968,Sardar Vallabhbhai Global University Ahmedabad,
31145,Rajdhani College Bhubaneswar,
26522,"Institute of Open and Distance Education, Barkatullah Vishwavidyalaya Bhopal",
26549,Institute of Paramedical Sciences Anjarakandy Kannur,
26524,"Directorate of Distance Education, Guru Jambheshwar University of Science & Technology Hisar",
26532,Adamas University Kolkata,
25995,Prasanna College of Engineering and Technology Bangalore,
34596,Rural Academy for Management Studies - RAMS,
29677,Hutatma Rajguru Shikshan Prasarak Mandal’s Law College Rajgurunagar Pune,
31146,"DMTIMS Navi Mumbai , Dr. Mar Theophilus Institute of Management Studies Navi Mumbai",
26533,SDA Bocconi Asia Center Mumbai,
13250,M.H. Saboo Siddik Polytechnic Mumbai,
32154,Oceanik College Bangalore,
34600,HCG Bharath Hospital and Institute Of Heath Sciences Powered by Emversity,
26535,Asian Business School Noida,
34013,Ch. Hari Singh Kanya Mahavidyalaya Saharanpur,
26537,Heritage Business School Kolkata,
31150,SAM Global University Bhopal,
26164,MGM Institute of Management & Research Aurangabad,
26539,Amrita School of Engineering Bangalore,
31153,Oriental College Patna,
26540,IILM Institute for Business & Management Gurgaon,
31155,IMPS Polytechnic College Jalpaiguri,
26168,Mahendra Institute of Management and Technical Studies Khorda,
26541,IIIT Guwahati,
25708,Alva's Institute of Engineering and Technology Mangalore,
31156,Sree Venkateswara College of Engineering Nellore,
33797,Akar Group of Colleges Ahmedabad,
26548,A.J. College of Science and Technology Thonnakkal Thiruvananthapuram,
33188,Gurudeo Paramedical College Patna,
26556,Christ Nagar College Maranalloor,
13265,Shri R.D.Bhakt College Of Polytechnic Jalna Aurangabad,
26559,Government College Chittur,
28309,"New Horizon College, Kasturi Nagar Bangalore",
31157,College of Horticulture Mysore,
31158,GMC Ratlam,
33199,"JD Institute of Fashion Technology, Dehradun",
31164,Oriental Institutes of Professional Studies Jabalpur,
26560,"Government Arts and Science College, Kondotty Malappuram",
26564,Ahalia School of Optometry Palakkad,
31165,Global College of Law Ghaziabad,
33206,Institute of Laser & Aesthetic Medicine New Delhi,
31166,Rajarshi Tandon Mahila Mahavidyalay Allahabad,
26565,AlAzhar Medical college and super speciality hospital Thodupuzha,
26567,Government College Nedumangad,
33813,Shri Baba Anandeswar Mahavidyalya Kanpur,
26569,College of Applied Science Attappadi Palakkad,
26570,Jaybees Training College Kannur,
33814,Alampat Complete Business School Ahmedabad,
34075,Shobhawati College of Pharmacy Ayodhya,
34243,R.S Banaras Law College,
